英文名称,注册地,批准日期,主托管行
DIJLLAH JEWELLERY FZE,阿联酋,46230,建设银行
Lingotto Investment Management LLP,英国,46210,汇丰银行
Orda Wealth Management Ltd,哈萨克斯坦,46191,
GMI Commodities SA,瑞士,46190,
KIC INVESTMENTS L.L.C,阿联酋,46154,
Hafeet Capital Limited,阿联酋,46151,
Jade Holding LLC,卡塔尔,46150,
Future Wealth Group AG,瑞士,46132,
ANGLO AMERICAN MARKETING LIMITED,英国,46128,
Old Mission Europe LLP,英国,46128,
SilverCape Investments Limited,开曼群岛,46102,
"REPSOL TRADING, S.A.",西班牙,46098,
KAAF INVESTMENTS LLC,阿联酋,46098,
DCM Systematic SA,瑞士,46091,
BTA Finance Limited,阿联酋,46091,
Axight Capital Limited,阿联酋,46087,
E D & F MAN SUGAR LIMITED,英国,46063,
NOBORU INTERNATIONAL FZCO,阿联酋,46063,
Freepoint,英国,46045,
Platinum Peregrine A 2012 RSC Limited,阿联酋,46045,
ITG Resources (UAE) Limited,阿联酋,46045,
Goodman China Developments,开曼群岛,46038,
IRH Global Trading Ltd.,阿联酋,45996,
Is Yatirim Menkul Degerler A,土耳其,45989,
Ips Capital Ltd.,哈萨克斯坦,45987,
Fiera Capital (UK) Limited,英国,45962,
Sharjah Asset Management (Holding) PER Person Company. LLC.,阿联酋,45962,
Goldman Sachs Bank Europe SE,德国,45931,
AlphaGrep UK Limited,英国,45860,建设银行
Mirabaud Asset Management (Europe) S.A.,卢森堡,45827,汇丰银行
MKS PAMP SA,瑞士,45826,中国银行
Tricon Energy UK Limited,英国,45820,中国银行
Radiant World Commodities SA,瑞士,45820,中国银行
Czarnikow Group Limited,英国,45761,中国银行
Nanhua Financial (UK) Co Limited,英国,45754,中国银行
CONCORD RESOURCES LIMITED,英国,45735,中国银行
Metalor Technologies SA,瑞士,45719,中国银行
Aikya Investment Management Limited,英国,45709,花旗银行
ODDO BHF ASSET MANAGEMENT SAS,法国,45681,汇丰银行
TH SPC Limited,开曼群岛,45564,
Mercuria Commodity Markets SA,瑞士,45549,中国银行
LEVMET TRADING DMCC,阿联酋,45549,星展银行
Xidar Research LLC,开曼群岛,45540,建设银行
Duferco SA,瑞士,45478,中国银行
Jabal Asset Management LLC,阿曼,45478,中国银行
OMAN INVESTMENT AUTHORITY,阿曼,45460,汇丰银行
"First Asset Management, Joint Stock Company",俄罗斯,45440,交通银行
Qatar National Bank （QNB）,卡塔尔,45429,中国银行
ABS COMMODITY TRADING COMPANY DMCC,阿联酋,45405,星展银行
Maverick Derivatives Coöperatief U.A.,荷兰,45389,建设银行
Superannuation Arrangements of the University of London,英国,45389,汇丰银行
Jefferies International Limited,英国,45366,汇丰银行
Gerald Metals Sarl,瑞士,45356,中国银行
Eagle Labs Capital(Israel)Ltd,以色列,45352,星展银行
The Board of the Pension Protection Fund,英国,45350,汇丰银行
Renaissance Broker Limited,俄罗斯,45264,中国银行
Joint Stock Company Ingosstrakh Bank,俄罗斯,45254,建设银行
DNE (Cayman) Investment I Holdings Limited,开曼群岛,45244,中国银行
OOO Raiffeisen Capital Asset Management Company,俄罗斯,45231,建设银行
"Joint stock company ""Raiffeisenbank""",俄罗斯,45222,建设银行
Guinness Asset Management Limited,英国,45191,中国银行
Capula Investment Management LLP,英国,45147,汇丰银行
International Monetary Fund Investment Fund,国际组织,45135,农业银行
MBaer Merchant Bank AG,瑞士,45120,建设银行
Nonagon Edge SF LTD,塞浦路斯,45118,建设银行
Broad Reach Investment Management LLP,英国,45091,汇丰银行
Flowertech C.V.,荷兰,45050,建设银行
"Capital Fund Management SA (""CFM"")",法国,45040,建设银行
GSA Capital Partners LLP,英国,45034,汇丰银行
Squarepoint Capital LLP,英国,45027,建设银行
TAVIRA FINANCIAL LIMITED,英国,45001,工商银行
PUBLIC JOINT-STOCK COMPANY BANK SINARA,俄罗斯,44999,中国银行
UBS Asset Management Switzerland AG,瑞士,44977,汇丰银行
iSAM Vector Management,开曼群岛,44973,花旗银行
Ingosstrakh Investments Asset Management,俄罗斯,44973,中国银行
Abans Global Limited,英国,44973,星展银行
East X LLP,英国,44973,汇丰银行
Transtrend B.V.,荷兰,44925,星展银行
Sector Fund Services AS,挪威,44902,汇丰银行
Aspect Capital Limited,英国,44899,汇丰银行
Greenland Investment Management,毛里求斯,44895,建设银行
John Street Capital Limited,英国,44872,星展银行
Bank Saint-Petersburg,俄罗斯,44869,中国银行
FOCUS VISION DMCC,阿联酋,44845,建设银行
OLIVE TREE CAPITAL MARKETS LIMITED,塞浦路斯,44832,建设银行
M&G Investment Management Limited,英国,44830,汇丰银行
ALT Investment Management Ltd.,开曼群岛,44826,建设银行
Freedom Finance Global PLC,哈萨克斯坦,44809,
True Partner Advisor Limited.,开曼群岛,44797,星展银行
Alpha Oryx Limited,阿联酋,44791,花旗银行
BlueCrest Capital Management Jersey Limited,泽西岛,44764,
Cerno Capital Partners LLP,英国,44711,汇丰银行
Origin Asset Management Limited Liability Partnership,英国,44645,汇丰银行
Amundi SGR S.p.A.,意大利,44590,汇丰银行
"Public Joint Stock Company ""SPB Bank""",俄罗斯,44575,建设银行
Metori Capital Management,法国,44544,建设银行
Security Kapitalanlage Aktiengesellschaft,奥地利,44531,渣打银行
Public Investment Fund,沙特阿拉伯,44505,汇丰银行
Vendavel Capital GP Limited,开曼群岛,44463,星展银行
Kuwait Investment Office,科威特,44432,汇丰银行
GENERAL ORGANIZATION FOR SOCIAL INSURANCE,沙特阿拉伯,44427,汇丰银行
Sygnia Asset Management (Proprietary) Limited,南非,44405,汇丰银行
La Banque Postale Asset Management,法国,44403,汇丰银行
Quaero Capital LLP,英国,44365,汇丰银行
Al Mehwar Commercial Investments L.L.C.,阿联酋,44363,汇丰银行
DNCA FINANCE,法国,44330,汇丰银行
Baillie Gifford & Co,英国,44316,汇丰银行
PEEL HUNT LLP,英国,44259,建设银行
HRTC Limited,开曼群岛,44237,建设银行
Henderson Rowe Limited,英国,44237,工商银行
Lombard Odier Asset Management (Europe) Limited,英国,44190,汇丰银行
Systematica Investments Limited,泽西岛,44179,汇丰银行
"DCP Management, Ltd.",开曼群岛,44179,花旗银行
Carlyle Mauritius CIS Investment Management Limited,毛里求斯,44179,
HongShan Capital Advisors Limited,开曼群岛,44179,
PAG Asia Capital Limited,开曼群岛,44179,
Optiver Australia Pty Limited,荷兰,44151,中国银行
LAV Global Management Company Limited,开曼群岛,44151,
Winton Capital Management Limited,英国,44119,花旗银行
Qube Research and Technologies Limited,英国,44102,汇丰银行
T. Rowe Price International Ltd,英国,44081,汇丰银行
AHL Partners LLP,英国,44070,汇丰银行
Baillie Gifford Overseas Limited,英国,43962,汇丰银行
Marshall Wace LLP,英国,43699,花旗银行
International Finance Corporation,国际组织,43647,工商银行
International Monetary Fund,国际组织,43529,汇丰银行
PineBridge Investments Ireland Limited,爱尔兰,43522,建设银行
Bank J.Safra Sarasin Ltd,瑞士,43424,汇丰银行
WisdomTree Management limited,爱尔兰,43327,汇丰银行
State Street Global Advisors Ireland Limited,爱尔兰,43251,汇丰银行
State Street Global Advisors Limited,英国,43251,汇丰银行
Highclere International Investors LLP,英国,43108,汇丰银行
APG Asset Management N.V.,荷兰,43067,工商银行
"Haitong Bank, S.A.",葡萄牙,42779,汇丰银行
Amundi Luxembourg S.A.,卢森堡,42724,工商银行
Lemanik Asset Management S.A.,卢森堡,42699,汇丰银行
J.P. Morgan Securities plc,英国,42641,建设银行
Edmond de Rothschild Asset Management (France),法国,42529,德意志银行
Robeco Luxembourg S.A.,卢森堡,42529,工商银行
GF Financial Markets (UK) Limited,英国,42461,浦发银行
AXA Investment Managers Paris,法国,42461,工商银行
OCTO Asset Management,法国,42426,渣打银行
Credit Industriel et Commercial S.A.,法国,42422,建设银行
Generali Investments Luxembourg S.A.,卢森堡,42422,汇丰银行
Nomura Asset Management Europe KVG mbH,德国,42401,花旗银行
Polunin Capital Partners Limited,英国,42382,渣打银行
Bank of China (Europe) S.A.,卢森堡,42311,汇丰银行
Industrial and Commercial Bank of China (Europe) S.A.,卢森堡,42310,汇丰银行
Amundi Asset Management,法国,42264,工商银行
"Fidelidade-Companhia de Seguros, S.A.",葡萄牙,42247,工商银行
Union Bancaire Gestion Institutionnelle (France) SAS,法国,42213,汇丰银行
BlueBay Asset Management LLP,英国,42181,汇丰银行
Swiss Reinsurance Company Ltd,瑞士,42157,汇丰银行
GAM International Management Limited,英国,42111,德意志银行
"Genesis Investment Management, LLP",英国,42069,
Wellington Management International Limited,英国,41983,建设银行
Cederberg Capital UK LLP,英国,41962,汇丰银行
Goldman Sachs International,英国,41904,汇丰银行
Carmignac Gestion,法国,41901,汇丰银行
BNP PARIBAS ASSET MANAGEMENT France,法国,41878,交通银行
BNP PARIBAS ASSET MANAGEMENT Europe,法国,41878,
HSBC Global Asset Management (UK) Limited,英国,41806,汇丰银行
BlackRock Advisors (UK) Limited,英国,41803,花旗银行
Nordea Investment Management AB,瑞典,41666,汇丰银行
Swiss RE Asia PTE. LTD.,瑞士,41666,
Bank of Lithuania,立陶宛,41601,汇丰银行
Alta Advisers Limited,英国,41512,汇丰银行
Azimut Investments S.A.,卢森堡,41375,交通银行
EJS Investment Management S.A.,瑞士,41305,花旗银行
East Capital AB,瑞典,41281,中国银行
Skandinaviska Enskilda Banken AB(publ),瑞典,41225,花旗银行
EFG Bank AG,瑞士,41178,农业银行
Qatar Holding LLC,卡塔尔,41177,汇丰银行
Andra AP-fonden,瑞典,41172,汇丰银行
Suva,瑞士,41134,汇丰银行
Ninety One UK Limited,英国,41057,建设银行
BG FUND MANAGEMENT LUXEMBOURG S.A.,卢森堡,41052,工商银行
Eurizon Capital S.A.,卢森堡,41031,渣打银行
JANUS HENDERSON INVESTORS UK LIMITED,英国,41027,工商银行
