序号,中文名称,英文名称,注册地,批准日期,主托管行
1,瑞士银行,UBS AG,瑞士,2003-05-23,花旗银行
2,野村证券株式会社,"Nomura Securities Co.,Ltd.",日本,2003-05-23,农业银行
3,摩根士丹利国际股份有限公司,Morgan Stanley & Co. International PLC,英国,2003-06-05,汇丰银行
4,花旗环球金融有限公司,Citigroup Global Markets Limited,英国,2003-06-05,德意志银行
5,高盛公司有限责任公司,Goldman Sachs&Co. LLC,美国,2003-07-04,汇丰银行
6,德意志银行,Deutsche Bank Aktiengesellschaft,德国,2003-07-30,花旗银行
7,香港上海汇丰银行有限公司,The Hongkong and Shanghai Banking Corporation Limited,中国香港,2003-08-04,建设银行
8,摩根大通银行,"JPMorgan Chase Bank, National Association",美国,2003-09-30,汇丰银行
9,渣打银行（香港）有限公司,Standard Chartered Bank (Hong Kong) Limited,中国香港,2003-12-11,中国银行
10,奥明资产管理有限公司,"Amova Asset Management Co.,Ltd.",日本,2003-12-11,交通银行
11,美林国际,Merrill Lynch International,英国,2004-04-30,汇丰银行
12,恒生银行有限公司,Hang Seng Bank Limited,中国香港,2004-05-10,建设银行
13,大和证券株式会社,Daiwa Securities Co. Ltd.,日本,2004-05-10,工商银行
14,盖茨基金会信托,Gates Foundation Trust,美国,2004-07-19,汇丰银行
15,景顺资产管理有限公司,INVESCO Asset Management Limited,英国,2004-08-04,中国银行
16,法国兴业银行,Société Générale,法国,2004-09-02,汇丰银行
17,巴克莱银行,Barclays Bank PLC,英国,2004-09-15,渣打银行
18,德国商业银行,Commerzbank AG,德国,2004-09-27,工商银行
19,法国巴黎银行,BNP Paribas,法国,2004-09-29,工商银行
20,加拿大鲍尔公司,Power Corporation of Canada,加拿大,2004-10-15,建设银行
21,东方汇理银行,Credit Agrigole Corporate and Investment Bank,法国,2004-10-15,汇丰银行
22,高盛国际资产管理公司,Goldman Sachs Asset Management International,英国,2005-05-09,汇丰银行
23,马丁可利投资管理有限公司,Martin Currie Investment Management Ltd,英国,2005-10-25,花旗银行
24,新加坡政府投资有限公司,GIC Private Limited,新加坡,2005-10-25,渣打银行
25,浩景投资有限责任公司,Heron View Partners LLC,美国,2005-11-14,中国银行
26,淡马锡富敦投资有限公司,Temasek Fullerton Alpha Pte Ltd,新加坡,2005-11-15,汇丰银行
27,日本第一生命保险株式会社,The Dai-ichi Life Insurance Company，Limited,日本,2005-12-28,中国银行
28,星展银行有限公司,DBS Bank Ltd,新加坡,2006-02-13,农业银行
29,加拿大丰业银行,The Bank of Nova Scotia,加拿大,2006-04-10,中国银行
30,比联金融产品英国有限公司,KBC Financial Products UK Limited,英国,2006-04-10,花旗银行
31,爱德蒙得洛希尔（法国）,Edmond de Rothschild（France）,法国,2006-04-10,中国银行
32,耶鲁大学,Yale University,美国,2006-04-14,汇丰银行
33,摩根士丹利投资管理公司,Morgan Stanley Investment Management Inc.,美国,2006-07-07,汇丰银行
34,瀚亚投资（香港）有限公司,Eastspring Investment(Hong Kong) Limited,中国香港,2006-07-07,农业银行
35,斯坦福大学,Stanford University,美国,2006-08-05,汇丰银行
36,大华银行有限公司,United Overseas Bank Limited,新加坡,2006-08-05,工商银行
